ethnicity,certified
Asian American,6/27/2017
Asian American,6/27/2016
Hispanic American,6/27/2012
Hispanic American,6/27/2012
African American,6/26/2020
African American,6/26/2020
African American,6/26/2020
Caucasian,6/26/2020
African American,6/26/2020
African American,6/26/2020
Hispanic American,6/26/2020
Asian American,6/26/2020
Caucasian,6/26/2020
African American,6/26/2020
African American,6/26/2020
African American,6/26/2019
Caucasian,6/25/2020
Caucasian,6/25/2020
Hispanic American,6/25/2020
Asian American,6/25/2020
Asian American,6/25/2020
African American,6/25/2020
Asian American,6/25/2020
Caucasian,6/25/2020
Hispanic American,6/25/2020
Caucasian,6/25/2020
Caucasian,6/25/2020
Caucasian,6/25/2020
Asian American,6/25/2020
Hispanic American,6/25/2020
African American,6/25/2020
Asian American,6/25/2020
African American,6/25/2020
African American,6/25/2020
Caucasian,6/25/2020
Caucasian,6/25/2020
Hispanic American,6/25/2020
Asian American,6/25/2020
Hispanic American,6/25/2020
African American,6/25/2020
Hispanic American,6/25/2020
Asian American,6/25/2020
Hispanic American,6/25/2020
Asian American,6/25/2020
African American,6/25/2020
Asian American,6/25/2020
Asian American,6/25/2020
Asian American,6/24/2020
Asian Indian,6/24/2020
Hispanic American,6/24/2020
African American,6/24/2020
Hispanic American,6/24/2020
African American,6/24/2020
Hispanic American,6/24/2020
Caucasian,6/24/2020
Asian American,6/24/2020
African American,6/24/2020
Asian American,6/24/2020
Asian American,6/24/2020
African American,6/24/2019
Asian American,6/24/2016
Hispanic American,6/24/2016
African American,6/24/2011
African American,6/24/2011
Caucasian,6/23/2020
African American,6/23/2020
Hispanic American,6/23/2020
Caucasian,6/23/2020
African American,6/23/2020
African American,6/23/2020
Caucasian,6/23/2020
Caucasian,6/23/2020
African American,6/23/2020
African American,6/22/2020
Caucasian,6/22/2020
Caucasian,6/22/2020
African American,6/22/2020
African American,6/22/2020
African American,6/22/2020
African American,6/22/2020
African American,6/22/2020
Caucasian,6/22/2020
African American,6/22/2020
Caucasian,6/22/2020
African American,6/22/2018
African American,6/22/2017
Caucasian,6/20/2019
Hispanic American,6/2/2020
African American,6/2/2020
Caucasian,6/2/2020
Asian American,6/2/2017
Caucasian,6/2/2015
Caucasian,6/2/2015
Asian American,6/2/2015
Hispanic American,6/19/2020
Caucasian,6/19/2020
Caucasian,6/19/2020
Hispanic American,6/19/2019
African American,6/19/2019
Caucasian,6/19/2019
Caucasian,6/18/2020
African American,6/18/2020
African American,6/18/2020
African American,6/18/2020
African American,6/18/2020
African American,6/18/2020
African American,6/18/2020
African American,6/18/2020
Asian American,6/18/2020
African American,6/18/2020
Caucasian,6/18/2020
African American,6/18/2020
Hispanic American,6/18/2020
Asian American,6/18/2020
Asian American,6/18/2020
Hispanic American,6/18/2019
Hispanic American,6/18/2019
Hispanic American,6/18/2019
Asian American,6/18/2018
African American,6/18/2015
Asian American,6/17/2020
African American,6/17/2020
Hispanic American,6/17/2020
African American,6/17/2020
Asian American,6/17/2020
Hispanic American,6/17/2020
Hispanic American,6/17/2020
Hispanic American,6/17/2020
Hispanic American,6/17/2020
African American,6/17/2020
African American,6/17/2016
African American,6/17/2015
African American,6/16/2020
African American,6/16/2020
African American,6/16/2020
Asian American,6/16/2020
Asian American,6/16/2020
Asian American,6/16/2020
African American,6/16/2020
Hispanic American,6/16/2017
African American,6/15/2020
African American,6/15/2020
African American,6/14/2019
African American,6/14/2019
Caucasian,6/14/2018
African American,6/12/2020
Asian American,6/12/2020
Asian American,6/12/2020
African American,6/12/2020
Asian American,6/12/2020
Hispanic American,6/12/2020
African American,6/12/2020
African American,6/12/2020
African American,6/12/2020
Caucasian,6/12/2020
Caucasian,6/12/2020
Caucasian,6/12/2020
Asian American,6/12/2020
Asian American,6/12/2020
Hispanic American,6/12/2020
Hispanic American,6/12/2020
Caucasian,6/12/2020
Asian American,6/12/2020
Hispanic American,6/12/2020
Caucasian,6/12/2020
African American,6/12/2020
Hispanic American,6/12/2020
African American,6/12/2020
African American,6/12/2020
Caucasian,6/12/2019
African American,6/11/2020
Hispanic American,6/11/2020
African American,6/11/2020
Caucasian,6/11/2020
Hispanic American,6/11/2020
African American,6/11/2015
Hispanic American,6/10/2020
African American,6/10/2020
Hispanic American,6/10/2020
African American,6/10/2020
African American,6/1/2020
Asian American,6/1/2020
Hispanic American,6/1/2020
Caucasian,6/1/2020
Hispanic American,6/1/2020
Asian American,6/1/2020
Caucasian,6/1/2020
Caucasian,6/1/2020
African American,5/9/2020
African American,5/9/2019
Caucasian,5/9/2016
African American,5/8/2020
Asian American,5/8/2020
African American,5/8/2020
African American,5/8/2020
African American,5/8/2020
African American,5/8/2020
African American,5/8/2020
Hispanic American,5/8/2019
Asian American,5/8/2017
Asian American,5/7/2020
Hispanic American,5/7/2020
African American,5/7/2020
African American,5/7/2020
Caucasian,5/7/2020
African American,5/7/2020
African American,5/7/2020
African American,5/7/2019
Hispanic American,5/7/2018
Caucasian,5/6/2020
Hispanic American,5/6/2020
Hispanic American,5/6/2020
African American,5/6/2020
African American,5/6/2020
Hispanic American,5/6/2020
African American,5/6/2019
Caucasian,5/6/2019
Caucasian,5/6/2019
African American,5/5/2020
Asian American,5/5/2020
Asian American,5/5/2020
African American,5/5/2020
Hispanic American,5/5/2020
Hispanic American,5/5/2020
Asian American,5/5/2020
Asian American,5/5/2020
Hispanic American,5/5/2020
Hispanic American,5/5/2020
Hispanic American,5/5/2020
Caucasian,5/5/2020
Asian American,5/5/2020
African American,5/5/2020
Hispanic American,5/5/2020
Hispanic American,5/5/2020
Caucasian,5/5/2020
Asian American,5/5/2020
African American,5/5/2020
Caucasian,5/4/2020
African American,5/4/2019
African American,5/4/2018
Asian American,5/4/2018
Hispanic American,5/30/2019
African American,5/30/2017
African American,5/30/2017
Asian American,5/3/2019
African American,5/3/2019
African American,5/3/2019
African American,5/3/2016
Hispanic American,5/29/2020
Asian American,5/29/2020
African American,5/29/2020
African American,5/29/2020
African American,5/29/2020
African American,5/29/2020
African American,5/29/2020
African American,5/29/2020
Asian American,5/29/2020
African American,5/29/2020
Hispanic American,5/29/2020
African American,5/29/2020
Hispanic American,5/29/2020
Hispanic American,5/29/2018
Caucasian,5/29/2015
African American,5/28/2020
Caucasian,5/28/2020
Asian American,5/28/2020
African American,5/28/2020
Caucasian,5/28/2020
Asian American,5/28/2020
African American,5/28/2020
African American,5/28/2020
Hispanic American,5/28/2019
Asian American,5/27/2020
Hispanic American,5/27/2020
African American,5/27/2020
African American,5/27/2020
Hispanic American,5/27/2020
Asian American,5/27/2020
Asian American,5/27/2020
Caucasian,5/27/2020
African American,5/26/2020
African American,5/26/2020
Hispanic American,5/26/2020
Caucasian,5/26/2020
Asian American,5/26/2020
Caucasian,5/26/2020
Asian American,5/26/2020
Hispanic American,5/26/2020
African American,5/26/2017
African American,5/26/2017
Asian American,5/26/2016
Caucasian,5/25/2019
Hispanic American,5/25/2018
Hispanic American,5/25/2018
Asian American,5/25/2017
Caucasian,5/25/2017
Caucasian,5/25/2016
Hispanic American,5/24/2019
Hispanic American,5/24/2019
Hispanic American,5/24/2018
Caucasian,5/23/2019
Hispanic American,5/23/2019
Asian American,5/23/2019
African American,5/23/2019
African American,5/22/2020
African American,5/22/2020
African American,5/22/2020
African American,5/22/2020
Hispanic American,5/22/2020
Hispanic American,5/22/2020
African American,5/22/2020
African American,5/22/2020
Caucasian,5/22/2020
Asian American,5/22/2020
African American,5/22/2018
Caucasian,5/22/2018
African American,5/22/2015
Hispanic American,5/21/2020
African American,5/21/2020
Hispanic American,5/21/2020
Hispanic American,5/21/2020
Hispanic American,5/21/2020
Hispanic American,5/21/2020
Hispanic American,5/21/2020
Hispanic American,5/21/2020
Hispanic American,5/21/2020
Hispanic American,5/21/2020
Caucasian,5/21/2020
Hispanic American,5/21/2020
African American,5/21/2020
Hispanic American,5/21/2019
Caucasian,5/21/2019
Caucasian,5/21/2012
African American,5/20/2020
Hispanic American,5/20/2020
African American,5/20/2020
African American,5/20/2020
African American,5/20/2020
African American,5/20/2020
African American,5/20/2020
African American,5/20/2020
African American,5/20/2020
African American,5/20/2020
Caucasian,5/20/2020
Hispanic American,5/20/2020
African American,5/20/2020
Caucasian,5/20/2020
African American,5/20/2020
African American,5/20/2020
African American,5/20/2020
Asian American,5/20/2020
African American,5/20/2020
African American,5/2/2019
African American,5/2/2019
African American,5/2/2018
Hispanic American,5/2/2017
African American,5/19/2020
Hispanic American,5/19/2020
Hispanic American,5/19/2020
Hispanic American,5/19/2020
African American,5/19/2020
Hispanic American,5/19/2020
Caucasian,5/19/2020
Hispanic American,5/19/2020
Caucasian,5/19/2015
African American,5/19/2015
African American,5/19/2015
African American,5/18/2020
African American,5/18/2020
African American,5/18/2020
African American,5/18/2020
Caucasian,5/18/2020
African American,5/18/2020
Hispanic American,5/18/2020
Hispanic American,5/18/2020
Hispanic American,5/18/2020
African American,5/18/2020
Asian American,5/18/2020
Caucasian,5/18/2020
African American,5/18/2020
African American,5/18/2020
Hispanic American,5/18/2020
Asian American,5/18/2020
Hispanic American,5/18/2020
Caucasian,5/18/2020
Caucasian,5/18/2020
African American,5/18/2020
Hispanic American,5/18/2019
Hispanic American,5/18/2017
Asian American,5/17/2019
Asian American,5/17/2019
Caucasian,5/17/2016
Caucasian,5/17/2016
Caucasian,5/16/2019
Asian American,5/15/2020
Caucasian,5/15/2020
Caucasian,5/15/2020
African American,5/15/2020
African American,5/15/2020
Hispanic American,5/15/2020
Hispanic American,5/15/2020
Hispanic American,5/15/2020
Caucasian,5/15/2020
Hispanic American,5/15/2020
Hispanic American,5/15/2020
Asian American,5/15/2020
African American,5/15/2020
African American,5/15/2020
African American,5/15/2020
Caucasian,5/15/2020
African American,5/15/2015
African American,5/14/2020
Caucasian,5/14/2020
Asian American,5/14/2020
Caucasian,5/14/2020
Hispanic American,5/14/2020
Caucasian,5/14/2020
African American,5/14/2019
Hispanic American,5/14/2019
African American,5/14/2019
Caucasian,5/14/2015
Hispanic American,5/13/2020
African American,5/13/2020
Caucasian,5/13/2020
Hispanic American,5/13/2020
Asian American,5/13/2020
Caucasian,5/13/2020
Caucasian,5/13/2020
Asian American,5/13/2019
Asian American,5/13/2019
Asian American,5/13/2016
Hispanic American,5/12/2020
African American,5/12/2020
Hispanic American,5/12/2020
African American,5/12/2020
African American,5/12/2020
African American,5/12/2020
Caucasian,5/12/2020
African American,5/12/2020
African American,5/12/2020
African American,5/12/2020
Caucasian,5/12/2020
African American,5/12/2020
African American,5/12/2020
African American,5/12/2020
Asian American,5/12/2020
African American,5/12/2020
African American,5/12/2020
Asian American,5/12/2020
Hispanic American,5/12/2020
African American,5/12/2020
African American,5/12/2020
African American,5/12/2020
African American,5/12/2020
African American,5/12/2020
African American,5/12/2020
African American,5/12/2020
Caucasian,5/12/2020
African American,5/12/2017
African American,5/12/2015
African American,5/11/2020
African American,5/11/2020
African American,5/11/2020
African American,5/11/2020
Caucasian,5/11/2020
African American,5/11/2019
Caucasian,5/1/2020
Hispanic American,5/1/2020
Asian American,5/1/2020
Asian American,5/1/2020
Caucasian,5/1/2020
African American,5/1/2020
African American,5/1/2020
Asian American,5/1/2020
Asian American,5/1/2020
Caucasian,5/1/2020
Hispanic American,5/1/2020
Hispanic American,5/1/2020
African American,5/1/2020
African American,5/1/2020
Caucasian,5/1/2020
Hispanic American,5/1/2020
Hispanic American,5/1/2020
Caucasian,5/1/2020
Caucasian,5/1/2020
Hispanic American,5/1/2019
African American,4/9/2020
African American,4/9/2020
Caucasian,4/9/2020
Hispanic American,4/9/2020
Hispanic American,4/9/2020
Caucasian,4/9/2020
Hispanic American,4/9/2020
Hispanic American,4/9/2020
Caucasian,4/9/2020
African American,4/9/2019
Hispanic American,4/9/2019
African American,4/9/2019
Hispanic American,4/9/2019
Hispanic American,4/9/2018
African American,4/9/2018
African American,4/9/2018
Caucasian,4/9/2015
Caucasian,4/8/2020
Caucasian,4/8/2020
African American,4/8/2020
Caucasian,4/8/2020
Hispanic American,4/8/2020
African American,4/8/2020
African American,4/8/2020
African American,4/8/2020
Asian American,4/8/2019
Hispanic American,4/8/2015
Hispanic American,4/8/2015
African American,4/7/2020
African American,4/7/2020
African American,4/7/2020
Caucasian,4/7/2020
Caucasian,4/7/2017
African American,4/6/2020
African American,4/6/2020
Asian American,4/6/2020
Caucasian,4/6/2020
African American,4/6/2020
Asian American,4/6/2020
Hispanic American,4/6/2018
African American,4/6/2018
African American,4/6/2018
African American,4/5/2019
African American,4/4/2019
Hispanic American,4/4/2019
Hispanic American,4/4/2019
African American,4/4/2019
Asian American,4/4/2019
Asian American,4/30/2020
Caucasian,4/30/2020
Asian American,4/30/2020
African American,4/30/2020
Caucasian,4/30/2019
Hispanic American,4/30/2019
African American,4/30/2016
African American,4/30/2016
African American,4/3/2020
Hispanic American,4/3/2020
Hispanic American,4/3/2020
African American,4/3/2020
Caucasian,4/3/2020
African American,4/3/2020
African American,4/3/2020
African American,4/3/2020
African American,4/3/2020
African American,4/3/2020
African American,4/3/2020
Hispanic American,4/3/2020
Caucasian,4/3/2020
African American,4/3/2020
African American,4/3/2020
Hispanic American,4/3/2020
African American,4/3/2020
African American,4/3/2020
Asian American,4/3/2020
African American,4/3/2020
Caucasian,4/3/2020
African American,4/3/2020
African American,4/3/2020
Hispanic American,4/3/2020
African American,4/3/2020
Caucasian,4/3/2020
Caucasian,4/3/2020
Hispanic American,4/3/2020
Caucasian,4/3/2020
African American,4/3/2020
Caucasian,4/3/2020
African American,4/3/2020
African American,4/3/2020
African American,4/3/2020
Hispanic American,4/3/2020
Hispanic American,4/3/2020
African American,4/3/2020
Caucasian,4/3/2019
Caucasian,4/3/2017
Caucasian,4/3/2017
African American,4/3/2009
African American,4/29/2020
African American,4/29/2020
Caucasian,4/29/2020
African American,4/29/2020
African American,4/29/2020
African American,4/29/2020
African American,4/29/2020
African American,4/29/2020
African American,4/29/2016
Caucasian,4/28/2020
African American,4/28/2020
Hispanic American,4/28/2020
Caucasian,4/28/2020
Caucasian,4/28/2020
Asian American,4/28/2020
Caucasian,4/28/2020
Asian American,4/28/2020
Caucasian,4/28/2020
African American,4/28/2020
African American,4/28/2020
African American,4/28/2020
African American,4/28/2020
African American,4/28/2020
Asian American,4/28/2020
African American,4/28/2017
African American,4/28/2017
African American,4/27/2020
Hispanic American,4/27/2020
African American,4/27/2020
African American,4/27/2020
African American,4/27/2020
Caucasian,4/27/2018
Asian American,4/27/2016
African American,4/27/2015
African American,4/26/2019
African American,4/26/2019
African American,4/26/2018
Hispanic American,4/26/2018
Caucasian,4/24/2020
African American,4/24/2020
Asian American,4/24/2020
African American,4/24/2020
African American,4/24/2019
Asian American,4/24/2019
African American,4/24/2014
Caucasian,4/23/2020
Hispanic American,4/23/2020
Hispanic American,4/23/2020
Caucasian,4/23/2020
Caucasian,4/23/2020
Hispanic American,4/23/2020
Caucasian,4/23/2020
Hispanic American,4/23/2020
Hispanic American,4/23/2020
African American,4/23/2019
African American,4/23/2019
African American,4/22/2020
African American,4/22/2020
African American,4/22/2020
Asian American,4/22/2020
Asian American,4/22/2020
Hispanic American,4/22/2020
Caucasian,4/22/2020
Caucasian,4/22/2020
African American,4/22/2020
Caucasian,4/22/2020
Caucasian,4/22/2015
Hispanic American,4/21/2020
Hispanic American,4/21/2020
Caucasian,4/21/2020
Caucasian,4/21/2020
Caucasian,4/21/2020
African American,4/21/2020
African American,4/21/2020
Hispanic American,4/21/2020
Caucasian,4/21/2020
African American,4/21/2020
African American,4/21/2020
Hispanic American,4/21/2020
African American,4/21/2020
African American,4/21/2020
African American,4/21/2015
Caucasian,4/21/2015
Asian American,4/20/2020
African American,4/20/2020
Asian American,4/20/2020
Asian American,4/20/2020
Asian American,4/20/2020
Asian American,4/20/2020
African American,4/20/2020
African American,4/20/2018
African American,4/20/2016
Caucasian,4/2/2020
Caucasian,4/2/2020
Caucasian,4/2/2020
Caucasian,4/2/2018
Caucasian,4/2/2017
African American,4/19/2019
African American,4/19/2019
African American,4/19/2019
Hispanic American,4/19/2019
Hispanic American,4/19/2018
Hispanic American,4/19/2017
African American,4/19/2016
African American,4/19/2016
Caucasian,4/19/2016
African American,4/19/2016
African American,4/18/2016
Caucasian,4/17/2020
Hispanic American,4/17/2020
Hispanic American,4/17/2020
Hispanic American,4/17/2020
African American,4/17/2020
African American,4/17/2020
Hispanic American,4/17/2020
Hispanic American,4/17/2020
Caucasian,4/17/2020
Caucasian,4/17/2020
Asian American,4/17/2020
Caucasian,4/17/2018
African American,4/17/2018
African American,4/17/2018
African American,4/17/2018
Caucasian,4/17/2018
Caucasian,4/16/2020
Hispanic American,4/16/2020
Caucasian,4/16/2020
Caucasian,4/16/2020
Caucasian,4/16/2020
Caucasian,4/16/2020
Caucasian,4/16/2019
African American,4/15/2020
Caucasian,4/15/2020
Caucasian,4/15/2020
Hispanic American,4/15/2020
Caucasian,4/15/2020
Caucasian,4/14/2020
Caucasian,4/14/2020
Hispanic American,4/14/2020
Hispanic American,4/14/2020
Caucasian,4/14/2020
African American,4/14/2020
African American,4/14/2020
Hispanic American,4/14/2020
African American,4/14/2020
African American,4/14/2020
Caucasian,4/14/2020
Caucasian,4/14/2016
Asian American,4/13/2020
Hispanic American,4/13/2020
Hispanic American,4/13/2020
Caucasian,4/13/2020
Hispanic American,4/13/2015
African American,4/12/2021
African American,4/12/2019
African American,4/12/2018
Hispanic American,4/12/2018
Hispanic American,4/12/2018
African American,4/12/2017
Hispanic American,4/12/2017
Caucasian,4/11/2019
Caucasian,4/11/2018
African American,4/11/2018
African American,4/11/2016
Hispanic American,4/10/2020
African American,4/10/2020
Caucasian,4/10/2020
Hispanic American,4/10/2020
Hispanic American,4/10/2020
African American,4/10/2020
Hispanic American,4/10/2020
Hispanic American,4/10/2020
Hispanic American,4/10/2020
African American,4/10/2020
Caucasian,4/10/2020
Hispanic American,4/10/2020
Hispanic American,4/10/2020
Asian American,4/10/2020
Asian American,4/10/2020
African American,4/10/2020
Asian American,4/10/2020
African American,4/10/2020
Caucasian,4/10/2020
Asian American,4/10/2020
African American,4/10/2020
Caucasian,4/10/2020
African American,4/10/2020
African American,4/10/2019
Hispanic American,4/10/2018
Asian American,4/10/2018
Hispanic American,4/10/2018
Asian American,4/10/2018
Asian American,4/1/2020
Hispanic American,4/1/2020
Caucasian,4/1/2020
Hispanic American,4/1/2020
Caucasian,4/1/2020
Asian American,4/1/2020
African American,4/1/2020
African American,4/1/2020
Caucasian,4/1/2016
Caucasian,4/1/2015
Hispanic American,3/9/2020
Hispanic American,3/9/2020
African American,3/9/2020
Asian American,3/9/2020
Hispanic American,3/9/2020
African American,3/9/2020
Hispanic American,3/9/2020
Hispanic American,3/9/2020
Asian American,3/9/2020
Hispanic American,3/9/2020
Asian American,3/9/2020
Hispanic American,3/9/2020
Caucasian,3/9/2020
Asian Indian,3/8/2019
Caucasian,3/7/2020
African American,3/7/2018
Caucasian,3/6/2020
Caucasian,3/6/2020
African American,3/6/2020
Hispanic American,3/6/2020
Asian American,3/6/2020
Caucasian,3/6/2020
Hispanic American,3/6/2020
Caucasian,3/6/2020
Caucasian,3/6/2020
Caucasian,3/6/2020
Hispanic American,3/6/2020
African American,3/6/2019
African American,3/6/2019
Caucasian,3/5/2020
Caucasian,3/5/2020
African American,3/5/2020
African American,3/5/2019
Caucasian,3/5/2019
African American,3/5/2019
Hispanic American,3/4/2020
Caucasian,3/4/2020
Caucasian,3/4/2020
African American,3/4/2020
African American,3/4/2020
African American,3/4/2020
Caucasian,3/4/2020
Hispanic American,3/4/2020
Asian American,3/4/2020
African American,3/4/2020
Caucasian,3/4/2020
Caucasian,3/4/2020
Asian American,3/4/2020
Asian American,3/4/2020
African American,3/4/2020
African American,3/4/2020
African American,3/4/2020
African American,3/4/2020
African American,3/4/2020
Caucasian,3/4/2020
African American,3/4/2016
Asian American,3/4/2015
Caucasian,3/4/2015
Caucasian,3/31/2020
Hispanic American,3/31/2020
Caucasian,3/31/2020
Hispanic American,3/31/2020
Hispanic American,3/31/2020
Hispanic American,3/31/2020
Caucasian,3/31/2020
Hispanic American,3/31/2020
Hispanic American,3/30/2020
Asian American,3/30/2020
Asian American,3/30/2020
African American,3/30/2020
Caucasian,3/30/2020
African American,3/30/2020
African American,3/30/2020
African American,3/30/2020
Hispanic American,3/30/2020
African American,3/30/2020
African American,3/30/2018
African American,3/30/2018
Asian American,3/30/2016
African American,3/30/2016
African American,3/3/2020
Caucasian,3/3/2020
Hispanic American,3/3/2020
African American,3/3/2020
Hispanic American,3/3/2020
Caucasian,3/3/2020
African American,3/3/2020
Hispanic American,3/3/2017
Hispanic American,3/29/2019
Hispanic American,3/29/2018
African American,3/29/2018
African American,3/29/2018
Hispanic American,3/29/2018
Hispanic American,3/29/2018
African American,3/28/2020
African American,3/28/2020
African American,3/28/2018
Hispanic American,3/28/2018
African American,3/27/2020
African American,3/27/2020
Asian American,3/27/2020
Hispanic American,3/27/2020
Hispanic American,3/27/2020
Caucasian,3/27/2020
Asian American,3/27/2020
African American,3/27/2020
Caucasian,3/27/2017
African American,3/27/2015
Hispanic American,3/26/2020
Hispanic American,3/26/2020
Hispanic American,3/26/2020
African American,3/26/2020
African American,3/26/2020
African American,3/26/2020
Hispanic American,3/26/2018
Hispanic American,3/26/2018
Caucasian,3/25/2021
African American,3/25/2020
Hispanic American,3/25/2020
Caucasian,3/25/2020
African American,3/25/2020
Asian American,3/25/2015
Asian American,3/25/2015
Hispanic American,3/24/2021
Hispanic American,3/24/2021
African American,3/24/2020
Hispanic American,3/24/2020
African American,3/23/2020
Hispanic American,3/23/2020
African American,3/23/2020
African American,3/23/2020
Hispanic American,3/23/2020
Caucasian,3/23/2020
Caucasian,3/23/2020
Caucasian,3/23/2020
Hispanic American,3/23/2020
Hispanic American,3/23/2020
Caucasian,3/23/2020
Asian American,3/23/2020
African American,3/23/2020
African American,3/23/2020
Asian American,3/23/2020
Hispanic American,3/23/2020
Caucasian,3/23/2020
Hispanic American,3/23/2016
Hispanic American,3/23/2015
Caucasian,3/22/2020
African American,3/22/2019
African American,3/22/2019
African American,3/22/2019
African American,3/22/2019
African American,3/22/2019
African American,3/22/2018
Hispanic American,3/22/2018
Asian American,3/22/2018
African American,3/22/2016
Caucasian,3/21/2019
Hispanic American,3/21/2019
Asian American,3/21/2019
Hispanic American,3/21/2019
Asian American,3/21/2019
Asian American,3/21/2017
Asian American,3/21/2017
Hispanic American,3/20/2020
African American,3/20/2020
Caucasian,3/20/2020
Asian American,3/20/2020
Hispanic American,3/20/2020
Hispanic American,3/20/2020
African American,3/20/2020
Caucasian,3/20/2020
African American,3/20/2020
Asian American,3/20/2020
African American,3/20/2020
Hispanic American,3/20/2020
African American,3/20/2017
Hispanic American,3/20/2015
African American,3/20/2015
Caucasian,3/20/2015
African American,3/2/2016
Hispanic American,3/19/2020
Hispanic American,3/19/2020
Hispanic American,3/19/2020
Caucasian,3/19/2020
African American,3/19/2020
Hispanic American,3/19/2020
Caucasian,3/19/2020
Hispanic American,3/19/2018
Hispanic American,3/18/2021
Hispanic American,3/18/2020
African American,3/18/2020
Hispanic American,3/18/2020
African American,3/18/2020
African American,3/18/2020
Hispanic American,3/18/2020
Caucasian,3/18/2020
African American,3/18/2015
Asian American,3/18/2015
Asian American,3/18/2015
Hispanic American,3/17/2020
Hispanic American,3/17/2020
Hispanic American,3/17/2020
African American,3/17/2016
Caucasian,3/17/2015
African American,3/16/2020
Caucasian,3/16/2020
Caucasian,3/16/2020
African American,3/16/2020
Hispanic American,3/16/2020
African American,3/16/2020
African American,3/16/2016
Caucasian,3/15/2020
Hispanic American,3/15/2020
Hispanic American,3/15/2020
Asian American,3/15/2017
Hispanic American,3/15/2016
Caucasian,3/14/2019
Hispanic American,3/14/2019
African American,3/14/2018
Hispanic American,3/14/2018
African American,3/14/2018
African American,3/14/2017
African American,3/13/2020
Hispanic American,3/13/2020
Caucasian,3/13/2020
African American,3/13/2020
Caucasian,3/13/2020
Hispanic American,3/13/2020
Caucasian,3/12/2020
Asian American,3/12/2020
African American,3/11/2020
African American,3/11/2020
African American,3/11/2020
African American,3/11/2020
Caucasian,3/11/2015
Hispanic American,3/10/2020
Hispanic American,3/10/2020
Hispanic American,3/10/2020
African American,3/10/2020
Hispanic American,3/10/2020
African American,3/10/2020
Caucasian,3/10/2020
Asian American,3/10/2020
Asian American,3/10/2020
Caucasian,3/1/2020
African American,3/1/2020
Asian American,3/1/2020
Caucasian,3/1/2019
African American,3/1/2019
African American,3/1/2017
African American,3/1/2017
African American,3/1/2017
African American,3/1/2017
Caucasian,3/1/2016
African American,2/9/2021
African American,2/9/2021
African American,2/9/2021
African American,2/9/2021
African American,2/9/2021
African American,2/9/2021
African American,2/9/2021
Hispanic American,2/9/2021
African American,2/9/2021
African American,2/9/2021
Caucasian,2/9/2017
Asian American,2/9/2017
African American,2/9/2017
Caucasian,2/9/2017
Hispanic American,2/9/2017
Caucasian,2/8/2021
Asian American,2/8/2021
African American,2/8/2021
Hispanic American,2/8/2021
African American,2/8/2021
African American,2/8/2021
Hispanic American,2/8/2021
African American,2/8/2021
Asian American,2/8/2021
Caucasian,2/8/2021
Hispanic American,2/8/2021
Hispanic American,2/8/2021
Hispanic American,2/8/2021
African American,2/8/2021
Caucasian,2/8/2021
African American,2/8/2021
Caucasian,2/8/2021
Caucasian,2/8/2021
Asian American,2/8/2021
Hispanic American,2/8/2021
Asian American,2/8/2021
Asian American,2/8/2021
Hispanic American,2/8/2021
Asian American,2/8/2021
Hispanic American,2/8/2021
African American,2/8/2018
Caucasian,2/8/2017
Caucasian,2/8/2017
African American,2/7/2020
African American,2/7/2020
African American,2/7/2020
Caucasian,2/7/2019
Caucasian,2/7/2019
Caucasian,2/7/2018
African American,2/6/2021
Caucasian,2/6/2020
Hispanic American,2/6/2020
Hispanic American,2/6/2020
Asian American,2/6/2020
Asian American,2/6/2020
African American,2/6/2020
Caucasian,2/6/2020
African American,2/6/2019
African American,2/6/2019
Asian American,2/6/2019
African American,2/6/2018
African American,2/6/2018
Caucasian,2/6/2009
Caucasian,2/5/2021
African American,2/5/2021
African American,2/5/2021
Caucasian,2/5/2021
Hispanic American,2/5/2021
Caucasian,2/5/2021
African American,2/5/2021
African American,2/5/2020
Asian American,2/5/2020
Asian American,2/5/2020
African American,2/5/2020
Caucasian,2/5/2020
Asian Indian,2/5/2020
Caucasian,2/5/2019
African American,2/5/2018
Hispanic American,2/4/2021
Hispanic American,2/4/2021
African American,2/4/2021
African American,2/4/2021
African American,2/4/2021
African American,2/4/2021
African American,2/4/2021
African American,2/4/2021
African American,2/4/2021
Hispanic American,2/4/2021
Hispanic American,2/4/2021
Caucasian,2/4/2021
Hispanic American,2/4/2021
Caucasian,2/4/2021
Caucasian,2/4/2021
African American,2/3/2021
Hispanic American,2/3/2021
Hispanic American,2/3/2021
Hispanic American,2/3/2021
Caucasian,2/3/2020
African American,2/3/2017
Hispanic American,2/28/2020
African American,2/28/2020
African American,2/28/2020
Hispanic American,2/28/2020
Caucasian,2/28/2020
African American,2/28/2020
Caucasian,2/28/2020
Hispanic American,2/28/2020
African American,2/28/2020
Caucasian,2/28/2020
Caucasian,2/28/2020
Caucasian,2/28/2020
African American,2/28/2019
African American,2/28/2019
African American,2/28/2019
African American,2/28/2019
Caucasian,2/28/2019
Caucasian,2/28/2019
African American,2/28/2018
Caucasian,2/27/2021
African American,2/27/2020
African American,2/27/2020
Caucasian,2/27/2020
African American,2/27/2020
Caucasian,2/27/2020
African American,2/27/2020
African American,2/27/2018
African American,2/27/2018
African American,2/27/2018
Caucasian,2/27/2018
Asian American,2/27/2018
African American,2/27/2018
Asian American,2/27/2018
African American,2/26/2021
African American,2/26/2021
African American,2/26/2021
Asian American,2/26/2021
