company_name,city,state,zip,agency,certification_type,ethnicity,gender,capability,company_name-2,city-2,state-2,zip-2,agency-2,certification_type-2,ethnicity-2,capability-2,company_name-3,city-3,state-3,zip-3,agency-3,certification_type-3,capability-3
Cheri K Lewis Engineers LLC,Chicago,IL,"	60642",CMS,WMBE,African American,Female,"91313     Construction, Bridge and Drawbridge, Including Reconstruction and Rehabilitation	; 92517	Civil Engineering",Cheri K Lewis Engineers LLC,Chicago,IL,60642,Chicago,WBE,African American,"NAICS 237310 Construction management, highway, road, street and bridge  ; NAICS 541330 Civil engineering services  ; NAICS 541330 Engineering consulting services  ; NAICS 541330 Erosion control engineering services ; ",Cheri K Lewis Engineers LLC,Chicago,IL,60642,Chicago,MBE,"NAICS 237310 Construction management, highway, road, street and bridge  ; NAICS 541330 Civil engineering services  ; NAICS 541330 Engineering consulting services  ; NAICS 541330 Erosion control engineering services ; "
Cheri K Lewis Engineers LLC,Chicago,IL,"	60642",CMS,WMBE,African American,Female,"91313     Construction, Bridge and Drawbridge, Including Reconstruction and Rehabilitation	; 92517	Civil Engineering",Cheri K Lewis Engineers LLC,Chicago,IL,60642,Chicago,MBE,African American,"NAICS 237310 Construction management, highway, road, street and bridge  ; NAICS 541330 Civil engineering services  ; NAICS 541330 Engineering consulting services  ; NAICS 541330 Erosion control engineering services ; ",Cheri K Lewis Engineers LLC,Chicago,IL,60642,Chicago,MBE,"NAICS 237310 Construction management, highway, road, street and bridge  ; NAICS 541330 Civil engineering services  ; NAICS 541330 Engineering consulting services  ; NAICS 541330 Erosion control engineering services ; "
Cheri K Lewis Engineers LLC,Chicago,IL,"	60642",CMS,WMBE,African American,Female,"91313     Construction, Bridge and Drawbridge, Including Reconstruction and Rehabilitation	; 92517	Civil Engineering",Cheri K Lewis Engineers LLC,Chicago,IL,60642,Chicago,WBE,African American,"NAICS 237310 Construction management, highway, road, street and bridge  ; NAICS 541330 Civil engineering services  ; NAICS 541330 Engineering consulting services  ; NAICS 541330 Erosion control engineering services ; ",Cheri K Lewis Engineers LLC,Chicago,IL,60642,Chicago,WBE,"NAICS 237310 Construction management, highway, road, street and bridge  ; NAICS 541330 Civil engineering services  ; NAICS 541330 Engineering consulting services  ; NAICS 541330 Erosion control engineering services ; "
Cheri K Lewis Engineers LLC,Chicago,IL,"	60642",CMS,WMBE,African American,Female,"91313     Construction, Bridge and Drawbridge, Including Reconstruction and Rehabilitation	; 92517	Civil Engineering",Cheri K Lewis Engineers LLC,Chicago,IL,60642,Chicago,MBE,African American,"NAICS 237310 Construction management, highway, road, street and bridge  ; NAICS 541330 Civil engineering services  ; NAICS 541330 Engineering consulting services  ; NAICS 541330 Erosion control engineering services ; ",Cheri K Lewis Engineers LLC,Chicago,IL,60642,Chicago,WBE,"NAICS 237310 Construction management, highway, road, street and bridge  ; NAICS 541330 Civil engineering services  ; NAICS 541330 Engineering consulting services  ; NAICS 541330 Erosion control engineering services ; "
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,WBE,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,BEPD,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,VBE,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,BEPD,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,MBE,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,BEPD,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,BEPD,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,BEPD,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,WBE,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,MBE,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,VBE,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,MBE,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,MBE,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,MBE,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,BEPD,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,MBE,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,WBE,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,VBE,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,VBE,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,VBE,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,MBE,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,VBE,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,BEPD,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,VBE,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,WBE,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,WBE,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,VBE,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,WBE,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,MBE,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,WBE,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
CHI SERVICES INC,South Holland,IL,"	60473",CMS,WMBE,African American,Female,"	94610	Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.; 	94667	Notary Public Services",CHI SERVICES INC,South Holland,IL,60473,Chicago,BEPD,African American,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services",CHI SERVICES INC,South Holland,IL,60473,Chicago,WBE,"NAICS	541199	Notary public services ; NAICS	541213	Tax Preparation Services; NAICS	541214	Payroll Services ; NAICS	541219	Bookkeeping services"
Chicago Advisors LLC,wilmette,IL,"	60091",CMS,WMBE,Asian American,Female,"91821 Business Consulting ; 91828 Computer Hardware Consulting ; 91832 Consulting Services (Not Otherwise Classified) ; 91871 IT Consulting, (Not Otherwise Classified) ; 95800 MANAGEMENT AND OPERATION SERVICES",Chicago Advisors LLC,wilmette,IL,60091,Chicago,WBE,Asian American,"NAICS 541511	Custom Computer Programming Services; NAICS 541512	Computer Systems Design Services; NAICS 541611	Administrative Management and General management Consulting Services; NAICS 611420	Computer Training",Chicago Advisors LLC,wilmette,IL,60091,Chicago,MBE,"NAICS 541511	Custom Computer Programming Services; NAICS 541512	Computer Systems Design Services; NAICS 541611	Administrative Management and General management Consulting Services; NAICS 611420	Computer Training"
Chicago Advisors LLC,wilmette,IL,"	60091",CMS,WMBE,Asian American,Female,"91821 Business Consulting ; 91828 Computer Hardware Consulting ; 91832 Consulting Services (Not Otherwise Classified) ; 91871 IT Consulting, (Not Otherwise Classified) ; 95800 MANAGEMENT AND OPERATION SERVICES",Chicago Advisors LLC,wilmette,IL,60091,Chicago,MBE,Asian American,"NAICS 541511	Custom Computer Programming Services; NAICS 541512	Computer Systems Design Services; NAICS 541611	Administrative Management and General management Consulting Services; NAICS 611420	Computer Training",Chicago Advisors LLC,wilmette,IL,60091,Chicago,MBE,"NAICS 541511	Custom Computer Programming Services; NAICS 541512	Computer Systems Design Services; NAICS 541611	Administrative Management and General management Consulting Services; NAICS 611420	Computer Training"
Chicago Advisors LLC,wilmette,IL,"	60091",CMS,WMBE,Asian American,Female,"91821 Business Consulting ; 91828 Computer Hardware Consulting ; 91832 Consulting Services (Not Otherwise Classified) ; 91871 IT Consulting, (Not Otherwise Classified) ; 95800 MANAGEMENT AND OPERATION SERVICES",Chicago Advisors LLC,wilmette,IL,60091,Chicago,WBE,Asian American,"NAICS 541511	Custom Computer Programming Services; NAICS 541512	Computer Systems Design Services; NAICS 541611	Administrative Management and General management Consulting Services; NAICS 611420	Computer Training",Chicago Advisors LLC,wilmette,IL,60091,Chicago,WBE,"NAICS 541511	Custom Computer Programming Services; NAICS 541512	Computer Systems Design Services; NAICS 541611	Administrative Management and General management Consulting Services; NAICS 611420	Computer Training"
Chicago Advisors LLC,wilmette,IL,"	60091",CMS,WMBE,Asian American,Female,"91821 Business Consulting ; 91828 Computer Hardware Consulting ; 91832 Consulting Services (Not Otherwise Classified) ; 91871 IT Consulting, (Not Otherwise Classified) ; 95800 MANAGEMENT AND OPERATION SERVICES",Chicago Advisors LLC,wilmette,IL,60091,Chicago,MBE,Asian American,"NAICS 541511	Custom Computer Programming Services; NAICS 541512	Computer Systems Design Services; NAICS 541611	Administrative Management and General management Consulting Services; NAICS 611420	Computer Training",Chicago Advisors LLC,wilmette,IL,60091,Chicago,WBE,"NAICS 541511	Custom Computer Programming Services; NAICS 541512	Computer Systems Design Services; NAICS 541611	Administrative Management and General management Consulting Services; NAICS 611420	Computer Training"
Chicago Area Plumbing Incorporated,Elk Grove Village,IL,"	60007",CMS,WBE,Caucasian,Female,"Plumbing Maintenance and Repair Services: Pressure Tapping Services, Pipe Freezes, Toilets, etc.	Plumbing; Plumbing",Chicago Area Plumbing Incorporated,Elk Grove Village,IL,60007,Cook County,WBE,Caucasian,Construction,Chicago Area Plumbing Incorporated,Elk Grove Village,IL,60007,Cook County,WBE,Construction
"Chicago Compass Counseling, LLC",Chicago,IL,"	60601",CMS,WMBE,Asian American,Female,"NIGP	92435	In-Service Training, Employees	; NIGP	95262	Mental Health Services: Vocational, Residential, etc.","Chicago Compass Counseling, LLC",Chicago,IL,60601,Chicago,WBE,Asian American,"NAICS 621330  Social Workers', Mental Health, Offices (e.g., centers, clinics); NAICS 611430  Professional Development Training","Chicago Compass Counseling, LLC",Chicago,IL,60601,Chicago,MBE,"NAICS 621330  Social Workers', Mental Health, Offices (e.g., centers, clinics); NAICS 611430  Professional Development Training; "
"Chicago Compass Counseling, LLC",Chicago,IL,"	60601",CMS,WMBE,Asian American,Female,"NIGP	92435	In-Service Training, Employees	; NIGP	95262	Mental Health Services: Vocational, Residential, etc.","Chicago Compass Counseling, LLC",Chicago,IL,60601,Chicago,MBE,Asian American,"NAICS 621330  Social Workers', Mental Health, Offices (e.g., centers, clinics); NAICS 611430  Professional Development Training; ","Chicago Compass Counseling, LLC",Chicago,IL,60601,Chicago,MBE,"NAICS 621330  Social Workers', Mental Health, Offices (e.g., centers, clinics); NAICS 611430  Professional Development Training; "
"Chicago Compass Counseling, LLC",Chicago,IL,"	60601",CMS,WMBE,Asian American,Female,"NIGP	92435	In-Service Training, Employees	; NIGP	95262	Mental Health Services: Vocational, Residential, etc.","Chicago Compass Counseling, LLC",Chicago,IL,60601,Chicago,WBE,Asian American,"NAICS 621330  Social Workers', Mental Health, Offices (e.g., centers, clinics); NAICS 611430  Professional Development Training","Chicago Compass Counseling, LLC",Chicago,IL,60601,Chicago,WBE,"NAICS 621330  Social Workers', Mental Health, Offices (e.g., centers, clinics); NAICS 611430  Professional Development Training"
"Chicago Compass Counseling, LLC",Chicago,IL,"	60601",CMS,WMBE,Asian American,Female,"NIGP	92435	In-Service Training, Employees	; NIGP	95262	Mental Health Services: Vocational, Residential, etc.","Chicago Compass Counseling, LLC",Chicago,IL,60601,Chicago,MBE,Asian American,"NAICS 621330  Social Workers', Mental Health, Offices (e.g., centers, clinics); NAICS 611430  Professional Development Training; ","Chicago Compass Counseling, LLC",Chicago,IL,60601,Chicago,WBE,"NAICS 621330  Social Workers', Mental Health, Offices (e.g., centers, clinics); NAICS 611430  Professional Development Training"
Chicago Cut Concrete Cutting Inc.,Schaumburg,IL,"	60193",CMS,WBE,Caucasian,Female,"91223 Construction, General (Backfill Services, Digging, Ditching, Road Grading, Rock Stabilization, etc.); 91227 Construction, Irrigation System ; 91430 Concrete ; 91078 Weather and Waterproofing Maintenance and Repair Services",Chicago Cut Concrete Cutting Inc.,Schaumburg,IL,60193,Chicago,WBE,Caucasian,238990 - Concrete sawing and drilling (except demolition); 238910 - Core drilling and test boring for construction,Chicago Cut Concrete Cutting Inc.,Schaumburg,IL,60193,Chicago,WBE,238990 - Concrete sawing and drilling (except demolition); 238910 - Core drilling and test boring for construction
"Chicago Jack Service, Inc.",BROADVIEW,IL,"	60155",CMS,WBE,Caucasian,Female,"54529	Industrial Commercial and Professional Equipment and Supplies, (Not Otherwise Classified); 92900	EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR AGRICULTURAL, CONSTRUCTION, HEAVY INDUSTRIAL, MATERIAL HANDLING, AND ROAD AND HIGHWAY EQUIPMENT","Chicago Jack Service, Inc.",BROADVIEW,IL,60155,Chicago,WBE,Caucasian,"Industrial Machinery and Equipment Merchant Wholesalers; Repair and Maintenance, Commercial and Industrial Machinery and Equipment (except Automotive and Electronic)","Chicago Jack Service, Inc.",BROADVIEW,IL,60155,Chicago,WBE,"Industrial Machinery and Equipment Merchant Wholesalers; Repair and Maintenance, Commercial and Industrial Machinery and Equipment (except Automotive and Electronic)"
"Chicago Ornamental Iron, Inc.",Chicago,IL,"	60609",CMS,MBE,Hispanic,Male,"Active NIGP 57000 METALS: BARS, PLATES, RODS, SHEETS, STRIPS     ; Active NIGP 57003 Alloy Metal: Angles, Sheets, etc. (Not Otherwise Classified)    ; Active NIGP 57005 Aluminum: Bars, Plates, Posts, Rods, Sheets, Siding, Strips, Structural Shapes, Tubes, etc. ; Active NIGP 57007 Bar Stock, All Kinds (Not Otherwise Classified)     ; Active NIGP 57009 Brass and Bronze: Bars, Plates, Rods, Sheets, Strips, etc. ; Active NIGP 57029 Iron: Angles, Bands, Plate, Sheets, etc. ; Active NIGP 57036 Metal, Perforated ; Active NIGP 57040 Ornamental Ironwork ; Active NIGP 57044 Posts, Steel (For Delineator Markers, Mile Markers, etc.) ; Active NIGP 57054 Sheet Metal, Fabricated (Custom-Made Sheet Metal Items) ; Active NIGP 57056 Sheet Piling, Steel ; Active NIGP 57065 Steel Bridge Truss, Overhead ; Active NIGP 57083 Structural Shapes, Other Than Steel: Angles, Channels, I-Beams, etc. ; Active NIGP 57084 Structural Shapes, Steel: Angles, Channels, I-Beams, etc. ; Active NIGP 91457 Metal Work ; Active NIGP 91485 Welding ; ","Chicago Ornamental Iron, Inc.",Chicago,IL,60609,Chicago,MBE,Hispanic/Latino,"NAICS 238120 Iron work, structural, contractors  ; NAICS 238150 Curtain wall, glass, installation  ; NAICS 332321 Metal Window and Door Manufacturing  ; NAICS 332322 Sheet metal work (except stampings) manufacturing  ; NAICS 332323 Fences and gates (except wire), metal, manufacturing  ; NAICS 332312 Fabricated structural metal manufacturing; NAICS 332313 Plate work manufacturing; NAICS 238190 Other Foundation, Structure and Building Exterior Contracts; ","Chicago Ornamental Iron, Inc.",Chicago,IL,60609,Chicago,MBE,"NAICS 238120 Iron work, structural, contractors  ; NAICS 238150 Curtain wall, glass, installation  ; NAICS 332321 Metal Window and Door Manufacturing  ; NAICS 332322 Sheet metal work (except stampings) manufacturing  ; NAICS 332323 Fences and gates (except wire), metal, manufacturing  ; NAICS 332312 Fabricated structural metal manufacturing; NAICS 332313 Plate work manufacturing; NAICS 238190 Other Foundation, Structure and Building Exterior Contracts; "
Chicago Pipe & Boiler Covering Co.,Sugar Grove,IL,"	60554",CMS,MBE,Hispanic,Male,"NIGP	91450	Heating, Ventilating and Air Conditioning (HVAC); NIGP	91468	Plumbing	; NIGP	91484	Trade Services, Construction, (Not Otherwise Classified); ",Chicago Pipe & Boiler Covering Co.,Sugar Grove,IL,60554,Chicago,MBE,Hispanic/Latino,"NAICS codes:; 238220 - Heating, ventilation and air-conditioning (HVAC) contractors; Duct work (e.g., Cooling, dust collection, exhaust, heating, ventilation) installation; 238290 - Boiler and pipe insulation installation; ; ",Chicago Pipe & Boiler Covering Co.,Sugar Grove,IL,60554,Chicago,DBE,"NAICS codes:; 238220 - Heating, ventilation and air-conditioning (HVAC) contractors; Duct work (e.g., Cooling, dust collection, exhaust, heating, ventilation) installation; 238290 - Boiler and pipe insulation installation; "
Chicago Pipe & Boiler Covering Co.,Sugar Grove,IL,"	60554",CMS,MBE,Hispanic,Male,"NIGP	91450	Heating, Ventilating and Air Conditioning (HVAC); NIGP	91468	Plumbing	; NIGP	91484	Trade Services, Construction, (Not Otherwise Classified); ",Chicago Pipe & Boiler Covering Co.,Sugar Grove,IL,60554,Chicago,MBE,Hispanic/Latino,"NAICS codes:; 238220 - Heating, ventilation and air-conditioning (HVAC) contractors; Duct work (e.g., Cooling, dust collection, exhaust, heating, ventilation) installation; 238290 - Boiler and pipe insulation installation; ; ",Chicago Pipe & Boiler Covering Co.,Sugar Grove,IL,60554,Chicago,MBE,"NAICS codes:; 238220 - Heating, ventilation and air-conditioning (HVAC) contractors; Duct work (e.g., Cooling, dust collection, exhaust, heating, ventilation) installation; 238290 - Boiler and pipe insulation installation; ; "
"Chicago Scaffolding, Inc.",Chicago,IL,"	60603",CMS,MBE,Asian American,Male,"NIGP	91484	Trade Services, Construction, (Not Otherwise Classified)","Chicago Scaffolding, Inc.",Chicago,IL,60603,Chicago,MBE,Asian American,NAICS 238990 Scaffold erecting and dismantling,"Chicago Scaffolding, Inc.",Chicago,IL,60603,Chicago,MBE,NAICS 238990 Scaffold erecting and dismantling
Chicago Voice And Data Authority Corp.,Chicago,IL,"	60608",CMS,WMBE,Hispanic,Female,"91316	Construction, Communication Equipment, Including Antenna Towers ; 91438	Electrical; 91484	Trade Services, Construction, (Not Otherwise Classified); 91875	Management Consulting; 93900	EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR COMPUTERS, OFFICE, PHOTOGRAPHIC, RADIO AND TELEVISION EQUIPMENT",Chicago Voice And Data Authority Corp.,Chicago,IL,60608,Cook County,WBE,Hispanic American,"Construction:  Voice and Data Cable - Installation and Maintenance; Electrical Contractor; Network Managed Services; Structured, Camera and Security Cabling",Chicago Voice And Data Authority Corp.,Chicago,IL,60608,Chicago,DBE,"NAICS	237130	Cable laying (e.g., cable television, electricity, marine, telephone), including underground (More)	; NAICS	238210	Electrical Contractors and Other Wiring Installation Contractors (More)	; NAICS	238990	Cable splicing (except electrical or fiber optic) (More)	; NAICS	541618	Telecommunications management consulting services (More)	; NAICS	811213	Communication equipment repair and maintenance services (More)	; "
Chicago Voice And Data Authority Corp.,Chicago,IL,"	60608",CMS,WMBE,Hispanic,Female,"91316	Construction, Communication Equipment, Including Antenna Towers ; 91438	Electrical; 91484	Trade Services, Construction, (Not Otherwise Classified); 91875	Management Consulting; 93900	EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR COMPUTERS, OFFICE, PHOTOGRAPHIC, RADIO AND TELEVISION EQUIPMENT",Chicago Voice And Data Authority Corp.,Chicago,IL,60608,Cook County,MBE,Hispanic American,"Construction:  Voice and Data Cable - Installation and Maintenance; Electrical Contractor; Network Managed Services; Structured, Camera and Security Cabling",Chicago Voice And Data Authority Corp.,Chicago,IL,60608,Chicago,DBE,"NAICS	237130	Cable laying (e.g., cable television, electricity, marine, telephone), including underground (More)	; NAICS	238210	Electrical Contractors and Other Wiring Installation Contractors (More)	; NAICS	238990	Cable splicing (except electrical or fiber optic) (More)	; NAICS	541618	Telecommunications management consulting services (More)	; NAICS	811213	Communication equipment repair and maintenance services (More)	; "
Chicago Voice And Data Authority Corp.,Chicago,IL,"	60608",CMS,WMBE,Hispanic,Female,"91316	Construction, Communication Equipment, Including Antenna Towers ; 91438	Electrical; 91484	Trade Services, Construction, (Not Otherwise Classified); 91875	Management Consulting; 93900	EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR COMPUTERS, OFFICE, PHOTOGRAPHIC, RADIO AND TELEVISION EQUIPMENT",Chicago Voice And Data Authority Corp.,Chicago,IL,60608,Cook County,WBE,Hispanic American,"Construction:  Voice and Data Cable - Installation and Maintenance; Electrical Contractor; Network Managed Services; Structured, Camera and Security Cabling",Chicago Voice And Data Authority Corp.,Chicago,IL,60608,Cook County,MBE,"Construction:  Voice and Data Cable - Installation and Maintenance; Electrical Contractor; Network Managed Services; Structured, Camera and Security Cabling"
Chicago Voice And Data Authority Corp.,Chicago,IL,"	60608",CMS,WMBE,Hispanic,Female,"91316	Construction, Communication Equipment, Including Antenna Towers ; 91438	Electrical; 91484	Trade Services, Construction, (Not Otherwise Classified); 91875	Management Consulting; 93900	EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR COMPUTERS, OFFICE, PHOTOGRAPHIC, RADIO AND TELEVISION EQUIPMENT",Chicago Voice And Data Authority Corp.,Chicago,IL,60608,Cook County,MBE,Hispanic American,"Construction:  Voice and Data Cable - Installation and Maintenance; Electrical Contractor; Network Managed Services; Structured, Camera and Security Cabling",Chicago Voice And Data Authority Corp.,Chicago,IL,60608,Cook County,MBE,"Construction:  Voice and Data Cable - Installation and Maintenance; Electrical Contractor; Network Managed Services; Structured, Camera and Security Cabling"
